"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"123","Baix Emporda","Professional fishers","RCP26_2050",0.379403039877098,0.364857833333333,0.34626875,"Intermediate","High","Low","High"
"124","Baix Emporda","Professional fishers","RCP85_2050",0.324972508994368,0.364857833333333,0.34626875,"Intermediate","High","Low","High"
"125","Baix Emporda","Professional fishers","RCP45_2050",0.291554004044364,0.364857833333333,0.34626875,"Low","High","Low","High"
"126","Baix Emporda","Professional fishers","RCP26_2100",0.276650910354068,0.364857833333333,0.34626875,"Low","High","Low","High"
"127","Baix Emporda","Professional fishers","RCP45_2100",0.545879821932197,0.364857833333333,0.34626875,"Very High","High","Low","Very High"
"128","Calanques","Divers","RCP85_2100",0.70647291764881,0.0283673333333333,0.366666666666667,"Extreme","Low","Low","Very High"
"129","Calanques","Divers","RCP45_2100",0.41503981506753,0.0283673333333333,0.366666666666667,"Intermediate","Low","Low","High"
"130","Calanques","Divers","RCP45_2050",0.300068377870961,0.0283673333333333,0.366666666666667,"Low","Low","Low","Intermediate"
"131","Calanques","Divers","RCP26_2100",0.232993792852476,0.0283673333333333,0.366666666666667,"Low","Low","Low","Intermediate"
"132","Calanques","Divers","RCP85_2050",0.291469539074841,0.0283673333333333,0.366666666666667,"Low","Low","Low","Intermediate"
"133","Calanques","Divers","RCP26_2050",0.308621277158855,0.0283673333333333,0.366666666666667,"Low","Low","Low","Intermediate"
"134","Portofino","Divers","RCP85_2100",0.970040650406504,0.54,0.312439583333333,"Extreme","Very High","Low","Extreme"
"135","Portofino","Divers","RCP85_2050",0.434847145373793,0.54,0.312439583333333,"High","Very High","Low","Very High"
"136","Portofino","Divers","RCP26_2050",0.458796495711651,0.54,0.312439583333333,"High","Very High","Low","Very High"
"137","Portofino","Divers","RCP45_2050",0.415490583827507,0.54,0.312439583333333,"Intermediate","Very High","Low","Very High"
"138","Portofino","Divers","RCP26_2100",0.361786455102598,0.54,0.312439583333333,"Intermediate","Very High","Low","Very High"
"139","Portofino","Divers","RCP45_2100",0.63336813636702,0.54,0.312439583333333,"Very High","Very High","Low","Very High"
"140","Tavolara","Divers","RCP85_2100",0.974587499689849,0.705,0.511591666666667,"Extreme","Extreme","Very High","Very High"
"141","Portofino","Nautical activities","RCP85_2100",0.970040650406504,0.665,0.543754761904762,"Extreme","Extreme","Very High","Very High"
"142","Tavolara","Divers","RCP85_2050",0.434577053817334,0.705,0.511591666666667,"High","Extreme","Very High","High"
"143","Portofino","Nautical activities","RCP26_2050",0.458796495711651,0.665,0.543754761904762,"High","Extreme","Very High","High"
"144","Portofino","Nautical activities","RCP85_2050",0.434847145373793,0.665,0.543754761904762,"High","Extreme","Very High","High"
"145","Portofino","Nautical activities","RCP45_2050",0.415490583827507,0.665,0.543754761904762,"Intermediate","Extreme","Very High","High"
"146","Tavolara","Divers","RCP45_2050",0.432146845975072,0.705,0.511591666666667,"Intermediate","Extreme","Very High","High"
"147","Portofino","Nautical activities","RCP26_2100",0.361786455102598,0.665,0.543754761904762,"Intermediate","Extreme","Very High","High"
"148","Tavolara","Divers","RCP26_2100",0.358770124639192,0.705,0.511591666666667,"Intermediate","Extreme","Very High","High"
"149","Tavolara","Divers","RCP45_2100",0.650834673183965,0.705,0.511591666666667,"Very High","Extreme","Very High","Very High"
